time    species    pebble_col_abundance
3000    grainCNH2    0.00000e+00
3000    grainCO    6.02627e-06
3000    grainH2CN    1.21843e-16
3000    grainN2    2.00874e-06
3000    grainSi    0.00000e+00
3000    grainC2H5    9.04902e-20
3000    grainCH2NH    7.69307e-17
3000    grainCH3N    0.00000e+00
3000    grainCHNH2    0.00000e+00
3000    grainHCO    1.51638e-13
3000    grainHOC    0.00000e+00
3000    grainN2H    0.00000e+00
3000    grainSiH    0.00000e+00
3000    grainC2H6    0.00000e+00
3000    grainCH2NH2    0.00000e+00
3000    grainCH3NH    0.00000e+00
3000    grainCHOH    0.00000e+00
3000    grainH2CO    2.52546e-12
3000    grainHOCH    0.00000e+00
3000    grainN2H2    0.00000e+00
3000    grainNO    2.46729e-15
3000    grainSiH2    0.00000e+00
3000    grainCH2OH    0.00000e+00
3000    grainCH3O    0.00000e+00
3000    grainCH5N    0.00000e+00
3000    grainHNO    2.18432e-15
3000    grainHON    0.00000e+00
3000    grainSiH3    0.00000e+00
3000    grainCH3OH    1.00345e-07
3000    grainNH2OH    0.00000e+00
3000    grainO2    2.10377e-13
3000    grainS    4.68868e-14
3000    grainHS    4.30076e-13
3000    grainS(-)    2.62645e-22
3000    grainSiH4    0.00000e+00
3000    grainO2H    3.63409e-18
3000    grainH2O2    4.39386e-30
3000    grainH2S    1.91786e-09
3000    grainCl    0.00000e+00
3000    grainC3    8.83298e-19
3000    grainHCl    0.00000e+00
3000    grainC3H    1.71949e-18
3000    grainC2N    1.48403e-17
3000    grainC3H2    2.83559e-18
3000    grainH2CCC    1.81528e-19
3000    grainC3H3    0.00000e+00
3000    grainHCCN    0.00000e+00
3000    grainC2O    3.97300e-20
3000    grainC3H4    0.00000e+00
3000    grainCH2CN    2.30226e-21
3000    grainCH3CCH    2.95626e-19
3000    grainNaOH    0.00000e+00
3000    grainSiC    0.00000e+00
3000    grainC3H5    0.00000e+00
3000    grainCH3CN    1.11227e-13
3000    grainHC2O    0.00000e+00
3000    grainHCSi    0.00000e+00
3000    grainC3H6    0.00000e+00
3000    grainCH2CO    7.99156e-16
3000    grainNH2CN    1.97173e-13
3000    grainOCN    1.33622e-15
3000    grainSiCH2    0.00000e+00
3000    grainSiN    0.00000e+00
3000    grainC3H7    0.00000e+00
3000    grainHNCO    9.22170e-17
3000    grainHNSi    0.00000e+00
3000    grainSiCH3    0.00000e+00
3000    grainC3H8    0.00000e+00
3000    grainCH3CHO    8.20517e-14
3000    grainCO2    5.02178e-06
3000    grainCS    1.23793e-15
3000    grainN2O    5.36836e-22
3000    grainSiO    0.00000e+00
3000    grainHCS    5.81014e-18
3000    grainNH2CHO    0.00000e+00
3000    grainNHNO    0.00000e+00
3000    grainC2H5OH    2.53219e-20
3000    grainCH3OCH3    3.12471e-12
3000    grainH2CS    7.92829e-16
3000    grainH2SiO    0.00000e+00
3000    grainHCOOH    3.23726e-14
3000    grainNH2NO    0.00000e+00
3000    grainNO2    1.43685e-20
3000    grainNS    3.51654e-18
3000    grainCCl    0.00000e+00
3000    grainC4    5.59102e-27
3000    grainO3    0.00000e+00
3000    grainSO    5.01404e-16
3000    grainC4H    1.87507e-22
3000    grainC3N    1.53805e-18
3000    grainC4H2    0.00000e+00
3000    grainC4H3    2.41382e-23
3000    grainClO    0.00000e+00
3000    grainHC2NC    0.00000e+00
3000    grainHC3N    3.30818e-19
3000    grainHCNC2    0.00000e+00
3000    grainHNC3    1.45809e-21
3000    grainC3O    3.76870e-18
3000    grainC4H4    0.00000e+00
3000    grainCH2CCN    0.00000e+00
3000    grainNCCN    7.06969e-16
3000    grainSiC2    0.00000e+00
3000    grainC4H5    0.00000e+00
3000    grainCH2CHCN    1.95116e-21
3000    grainHC3O    0.00000e+00
3000    grainSiC2H    0.00000e+00
3000    grainC4H6    0.00000e+00
3000    grainH2C3O    0.00000e+00
3000    grainH4C3N    0.00000e+00
3000    grainSiC2H2    0.00000e+00
3000    grainSiNC    0.00000e+00
3000    grainH5C3N    0.00000e+00
3000    grainC2S    9.26753e-22
3000    grainFe    0.00000e+00
3000    grainFeH    0.00000e+00
3000    grainC5    2.99138e-26
3000    grainHCOOCH3    3.60148e-17
3000    grainOCS    1.14988e-18
3000    grainSiO2    0.00000e+00
3000    grainSiS    0.00000e+00
3000    grainC5H    3.63843e-25
3000    grainC4N    2.11272e-26
3000    grainC5H2    1.23884e-24
3000    grainC5H3    0.00000e+00
3000    grainCH3C4H    5.44256e-25
3000    grainS2    3.05303e-19
3000    grainSO2    5.24373e-19
3000    grainCH3C3N    1.25886e-22
3000    grainHS2    1.36283e-16
3000    grainSiC3H    0.00000e+00
3000    grainH2S2    3.91131e-17
3000    grainC3S    4.55731e-25
3000    grainC6    1.94537e-27
3000    grainC6H    4.88625e-27
3000    grainC5N    4.43239e-28
3000    grainC6H2    4.85789e-27
3000    grainC6H3    0.00000e+00
3000    grainHC5N    1.24538e-25
3000    grainC6H4    0.00000e+00
3000    grainH2C5N    0.00000e+00
3000    grainSiC4    0.00000e+00
3000    grainH3C5N    0.00000e+00
3000    grainC6H6    1.51128e-27
3000    grainC4S    4.30547e-29
3000    grainC7    3.26836e-29
3000    grainC7H    1.45969e-30
3000    grainC7H2    4.55422e-31
3000    grainC7H3    0.00000e+00
3000    grainC7H4    0.00000e+00
3000    grainCH3C6H    3.67628e-31
3000    grainCH3C5N    6.19062e-32
3000    grainC8    7.33687e-27
3000    grainC8H    3.80905e-27
3000    grainC7N    1.13671e-32
3000    grainC8H2    8.49946e-30
3000    grainC8H3    0.00000e+00
3000    grainHC7N    4.55926e-32
3000    grainC8H4    0.00000e+00
3000    grainH2C7N    0.00000e+00
3000    grainH3C7N    0.00000e+00
3000    grainC9    1.58745e-26
3000    grainC9H    2.12884e-29
3000    grainC9H2    1.29017e-31
3000    grainC9H3    0.00000e+00
3000    grainC9H4    0.00000e+00
3000    grainCH3C7N    1.46905e-38
3000    grainC10    2.27514e-29
3000    grainC9N    7.84398e-38
3000    grainHC9N    2.27840e-38
3000    grainH2C9N    0.00000e+00
3000    grainH3C9N    0.00000e+00
4000    grain    2.76420e-13
4000    grainH    7.72938e-08
4000    grainH(-)    6.08627e-13
4000    grainH2    1.36071e-02
4000    grainHe    2.81520e-14
4000    grainC    3.26314e-14
4000    grainCH    2.69597e-14
4000    grainC(-)    4.77387e-26
4000    grainCH2    3.27172e-12
4000    grainCH3    3.90106e-11
4000    grainN    9.63143e-13
4000    grainNH    5.11902e-13
4000    grainCH4    2.51353e-07
4000    grainNH2    3.91072e-12
4000    grainNH3    1.82183e-07
4000    grainO    4.78973e-11
4000    grainOH    6.92265e-11
4000    grainO(-)    1.74616e-26
4000    grainH2O    1.48262e-05
4000    grainOH(-)    1.74595e-14
4000    grainNa    0.00000e+00
4000    grainC2    3.92774e-17
4000    grainMg    0.00000e+00
4000    grainNaH    0.00000e+00
4000    grainC2H    2.90930e-16
4000    grainMgH    0.00000e+00
4000    grainC2H2    5.84452e-15
4000    grainCN    3.05968e-12
4000    grainCN(-)    1.38763e-14
4000    grainMgH2    0.00000e+00
4000    grainC2H3    1.93776e-16
4000    grainHCN    4.39563e-08
4000    grainHNC    1.60582e-11
4000    grainC2H4    7.77131e-15
4000    grainCHNH    0.00000e+00
4000    grainCNH2    0.00000e+00
4000    grainCO    7.53880e-06
4000    grainH2CN    1.53160e-16
4000    grainN2    2.51291e-06
4000    grainSi    0.00000e+00
